pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
S,60.8,-1.43414915352176,0.791900580365804,1.43414915352176,0.791900580365804,Screwball,2-1,1,Bot 5,L,R,Mejia,Caldwell,UCSB,UCSD,S,60.8,-1.43414915352176,0.791900580365804,Screwball,2-1
B,60.5,-0.261472256468336,0.139636612627423,0.261472256468336,0.139636612627423,Screwball,2-2,1,Bot 5,L,R,Mejia,Caldwell,UCSB,UCSD,B,60.5,-0.261472256468336,0.139636612627423,Screwball,2-2
Ball,60.8,1.48063912940786,1.12499654069401,-1.48063912940786,1.12499654069401,Riseball,0-0,1,Bot 5,R,R,Banks,Caldwell,UCSB,UCSD,Ball,60.8,1.48063912940786,1.12499654069401,Riseball,0-0
Ball,61.5,-0.39947382082933,1.21182110891907,0.39947382082933,1.21182110891907,Fastball,1-0,1,Bot 5,R,R,Banks,Caldwell,UCSB,UCSD,Ball,61.5,-0.39947382082933,1.21182110891907,Fastball,1-0
B,61.3,0.379476073440647,0.551574745707546,-0.379476073440647,0.551574745707546,Curveball,2-0,1,Bot 5,R,R,Banks,Caldwell,UCSB,UCSD,B,61.3,0.379476073440647,0.551574745707546,Curveball,2-0
SL,60.6,0.738003967768605,0.551982372201134,-0.738003967768605,0.551982372201134,Curveball,0-0,1,Bot 5,R,R,Acosta,Caldwell,UCSB,UCSD,SL,60.6,0.738003967768605,0.551982372201134,Curveball,0-0
S,62.3,0.35487486750063,1.07980898090524,-0.35487486750063,1.07980898090524,Riseball,0-1,1,Bot 5,R,R,Acosta,Caldwell,UCSB,UCSD,S,62.3,0.35487486750063,1.07980898090524,Riseball,0-1
S,62.2,0.520074663827254,0.709508611424609,-0.520074663827254,0.709508611424609,Curveball,0-2,1,Bot 5,R,R,Acosta,Caldwell,UCSB,UCSD,S,62.2,0.520074663827254,0.709508611424609,Curveball,0-2
S,61.9,0.878485169351985,0.28159210488591,-0.878485169351985,0.28159210488591,Curveball,0-2,1,Bot 5,R,R,Acosta,Caldwell,UCSB,UCSD,S,61.9,0.878485169351985,0.28159210488591,Curveball,0-2
Ball,61.2,-1.08741774893459,0.934483250754461,1.08741774893459,0.934483250754461,Screwball,0-0,2,Bot 5,L,R,Sams,Caldwell,UCSB,UCSD,Ball,61.2,-1.08741774893459,0.934483250754461,Screwball,0-0
